Chinese term,English term,Synonyms,Chinese synonyms
骨蒸,Bone-steaming tidal fever,,
寒热往来,Alternating fever and chills,Fever alternating with aversion to cold,往来寒热
无汗,Absence of sweating,,
自汗,Spontaneous sweating,,
战汗,Sweating after shivering,,
冷汗,Cold sweats,,
热汗,Hot sweats,,
头汗,Head sweating,,
手足心汗,Sweats in the palms/ soles,,
脱汗,Exhausted sweating,Collapsing sweating,绝汗
心胸汗,Sweats on the chest,,
阴汗,Sweats in the genital area,,
隐痛,Dull pain,,
绞痛,Colicky pain,Gripping pain,
空痛,Hollow pain,Empty pain,
刺痛,Stabbing pain,,
冷痛,Cold pain,,
胀痛,Distending pain,,
重痛,Heavy pain,,
灼痛,Burning pain,Scorching pain,
掣痛,Referred pain,Pulling pain,
窜痛,Migratory pain,Wandering/moving pain,走窜痛
闷痛,Oppressive pain,Suffocating pain,
酸痛,Soreness,aching pain,
头重如裹,Head heaviness as if being wrapped up,,
头胀,Distending headache,,
头重,Heavy headache,,
头项强痛,Headache with neck rigidity,,
太阳头痛,Taiyang headache,,
少阳头痛,Shaoyang headache,,
阳明头痛,Yangming headache,,
太阴头痛,Taiyin headache,,
少阴头痛,Shaoyin headache,,
厥阴头痛,Jueyin headache,,
项强,Neck stiffness,,
乏力,Lassitude,Lack of strength,
烦热,Vexation and fever,Heat vexation,
烦躁,Restlessness,Vexation and agitation,
心痛彻背,Chest pain radiating to the back,,
心下痛,Pain below the heart,,
心烦,Vexation,Heart vexation,
胸中热,Feverish sensation in the chest,,
胸痞,Chest stuffiness,,
胸胁苦满,Fullness in the chest and sub-costal region,,
胸中烦热,Heat vexation in the chest,,
胁胀,Distension in the sub- costal region,,
脘痞,Stomach stuffiness,,
小腹痛,Lower abdominal pain,,
少腹痛,Bilateral lower abdominal pain,,
少腹拘急,Lower abdominal cramp,,
身痛,Body ache,Generalized pain,
身重,Body heaviness,,
腰痠,Low back soreness,,
悬癖,Masses in the sub- costal region,,
咽干,Dry throat,,
目干涩,Dry eyes,,
目羞明,Light sensitivity,Photophobia,畏光
目眩,Blurred vision,,
目痒,Itchy eyes,,
耳痛,Ear pain,Earache,
重听,Hearing impairment,,重耳
半身不遂,Hemiplegia,,
半身麻木,Hemilateral numbness,,
肌肤不仁,Insensitivity of the skin,,
手足麻木,Numbness of hands/ feet,,
战栗,Shivering,,
筋惕肉瞤,Muscle twitching and cramp,,
饥不欲食,Hungry but with no appetite,,
消谷善饥,Fast digestion with rapid hunger,,
纳呆,Poor appetite,,纳差；纳少
厌食,Aversion to food,,
恶心,Nausea,,
泛酸,Regurgitation,Acid reflux,
嗳腐,Belching,,
懊憹,Anguish,,
除中,Sudden spurt of appetitie prior to collapse,,
吐血,Vomiting blood,Hematemesis,
口干,Dry mouth,,
口渴,Thirst,,
口渴欲饮,Thirst with desire to drink,,
渴不欲饮,Thirst with no desire to drink,,
口淡,A bland taste,,
口苦,A bitter taste,,
口黏腻,"A sticky, greasy taste",,
口酸,A sour taste,,
口甜,A sweet taste,,
口咸,A salty taste,,
口辛,A pungent taste,An acrid taste,
口涩,A puckering taste,,
口麻,Mouth numbness,,
溏结不调,Irregular bowel movements,,
里急后重,Tenesmus,,
完谷不化,Indigestion of food,Poor digestion of food,
五更泄泻,Early morning diarrhea,Diarrhea before dawn,
肛门灼热,A burning sensation of the anus,,
小便黄赤,"Yellow, reddish urine",,溺赤
余沥不尽,Urinary dribbling,Dribbling urination,
小便频数,Frequent urination,,
小便涩痛,"Difficult, painful urination",,
多梦,Excessive dreaming,Dream-disturbed sleep,
梦游,Sleepwalking,,
舌卷囊缩,Curled tongue with contracted scrotum,,
白带,White leukorrhea,,
黄带,Yellow leukorrhea,,
赤白带下,Red and white leukorrhea,,
胎动不安,Threatened abortion,Restless fetus; Excessive movement of foetus,
切诊类,The category of palpation,,
切诊,Palpation,,
脉诊,Pulse diagnosis,Pulse-taking,切脉
三部九候遍诊法,Diagnosis methods using the three positions and nine indicators,,
按诊,Palpation diagnosis,,
三部九候诊法,Overall pulse diagnosis,,
腹诊,Abdominal palpation,,
三部诊法,Diagnosis in three arteries,,
寸口诊法,Diagnosis in Cunkou area,,
指法,Finger positioning method,,
中指定关,Locate the Guan position with the middle finger,,
总按,Overall pulse examination,,
举、按、寻,"Lifting, pressing and searching",,
布指,Finger positioning,,
脉象,Pulse conditions,,
病脉,Abnormal pulses,,
胃、神、根,"Stomach qi, spirit and root",,
五十动,Fifty beats,,
指目,Feeling the pulse with fingertips,,
至数,Pulse rate,,
二十八脉,Twenty-eight pulse conditions,,
脉色合参,Overall analysis on the pulse and colour,,
脉症合参,Comprehensive analysis on pulse and symptoms,,
舍脉从症,Precedence of symptoms over the pulse,,
舍症从脉,Precedence of the pulse over symptoms,,
脉无胃气,Pulse bereft of stomach qi,,
脉从四时,Correspondence between the pulse and the four seasons,,脉应四时
春脉如弦,Wiry pulse in spring,,
夏脉如钩,Hooked pulse in summer,,
秋脉如浮,Superficial pulse in autumn,Floating pulse in autumn,
冬脉如营,Deep pulse in winter,,
阳微阴弦,Feeble yang and wiry yin,,
格阳关阴,Rejected yang and blocked yin,,
外关内格,External blockage and internal rejection,,
浮、中、沉,"Floating, medium and deep",,
寸关尺,"Cun, Guan and Chi",,
寸脉,The Cun pulsation,,
关脉,The Guan pulsation,,
尺脉,The Chi pulsation,,
单按,Pressing with one finger,,
平脉,Normal pulse,Healthy pulse,常脉
浮脉,Floating pulse,Superficial,
沉脉,Deep pulse,,
迟脉,Slow pulse,,
数脉,Rapid pulse,,
洪脉,Surging pulse,,
大脉,Large pulse,,
微脉,Feeble pulse,Indistinct pulse,
细脉,Thready pulse,Thin pulse,
散脉,Scattered pulse,,
虚脉,Deficient pulse,Feeble Fine,
实脉,Excess pulse,Forceful Full Strong,
滑脉,Slippery pulse,,
涩脉,Hesitant pulse,Rough Choppy,
长脉,Long pulse,,
短脉,Short pulse,,
弦脉,Wiry pulse,String-like pulse,
芤脉,Hollow pulse,Scallion-like pulse,
紧脉,Tight pulse,,
缓脉,Slowdown pulse,Moderate,
革脉,Tympanic pulse,Drum-skin,
牢脉,Firm pulse,,
弱脉,Weak pulse,,
濡脉,Soft pulse,Soggy,
伏脉,Hidden pulse,,
促脉,Skipping pulse,Hasty pulse,
结脉,Knotted pulse,Bound,
代脉,Regularly intermittent pulse,Intermittent,
疾脉,Racing pulse,Swift pulse,极脉
反关脉,Pulse on the back of the wrist,,
斜飞脉,Oblique flying pulse,Oblique running pulse,
趺阳脉,Anterior tibial (Fuyang) pulse,,
钩脉,Hooked pulse,,
离经脉,Abnormal frequency pulse,,
六阳脉,Six yang pulse,,
六阴脉,Six yin pulse,,
平息,Calm breathing,,
人迎脉,Carotid pulsation,Renying pulsation,
怪脉,Strange pulse,True visceral pulse; exhaustion pulse; failure pulse; critical pulse,真脏脉；败脉；死脉；绝脉
月经脉,Menstruation pulse,,
妊娠脉,Pregnancy pulse,,
相兼脉,Combined pulses,,
八纲辨证,Pattern differentiation by the eight principles,,
表里同病,Concurrent exterior and interior pattern,,
表里出入,Entering of exterior pattern and exiting of interior pattern,,
表邪入里,Exterior pathogen entering the interior,,表邪内陷
里邪出表,Interior pathogen moving out to the exterior,,里病出表
寒包火,Cold enveloping fire,,
寒热真假,True/false of cold and heat,,
真寒假热,True cold with false heat,,
真热假寒,True heat with false cold,,
寒热转化,Cold–heat transformation,,
寒证化热,Cold pattern transforming into heat,,
热证转寒,Heat pattern transforming into cold,,
寒热格拒,Cold-heat rejection,,
虚实,Deficiency and excess,,
虚实辨证,Pattern differentiation of deficiency and excess,,
阴阳辨证,Pattern differentiation of yin and yang,,
证候相兼,Concurrent patterns,,
证候转化,Pattern transformation,,
病因辨证,Pattern differentiation of etiological factors,,
风淫证,Pathogenic wind pattern,,
寒淫证,Pathogenic cold pattern,,
暑淫证,Pathogenic summer heat pattern,,
🗎淫证,Pathogenic dampness pattern,,
燥淫证,Pathogenic dryness pattern,,
火淫证,Pathogenic fire pattern,,
忧证,Excessive worry pattern,,
怒证,Excessive anger pattern,,
思证,Excessive thinking pattern,,
恐证,Excessive fear pattern,,
惊证,Excessive fright pattern,,
喜证,Excessive joy pattern,,
悲证,Excessive grief pattern,,
气血津液辨证,"Pattern differentiation of qi, blood and bodily fluids",,
脏腑辨证,Pattern differentiation of zang–fu organs,,
卫气营血辨证,"Pattern differentiation of Wei-defence, qi, Ying nutrients and blood",,
逆传,Non-sequential transmission,,
逆传心包证,Pathogenic warmth entering the pericardium,,
卫营同病,Pattern involving both the Wei-defence and Ying nutrients,,
六经辨证,Pattern differentiation of six meridians,,
并病,Combined disorder,,
合病,Concurrent meridian pattern,,
传经,Meridian transmission,,
循经传,Sequential meridian transmission,,
越经传,Non-sequential meridian transmission,,
表里传,Paired meridian transmission,,
直中,Direct attack to yin meridians,,
三阳病证,Patterns of the three yang meridians,,
三阴病证,Patterns of the three yin meridians,,
三焦辨证,Pattern differentiation of the three jiao,Pattern differentiation of the triple energizer,
三焦传变,Pattern transmission along the three jiao,Pattern transmission along triple energizer,
上焦病证,Upper jiao pattern,,
中焦病证,Middle jiao pattern,,
下焦病证,Lower jiao pattern,,
经络辨证,Pattern differentiation of meridians,,
奇经八脉病证,Patterns of the eight extra meridians,,
中经,Stroke of meridians,,
中络,Stroke of collaterals,,
八纲证类,Patterns according to the eight principles,Principle-based pattern,
阳证,Yang pattern,,
阴证,Yin pattern,,
热证,Heat pattern,,
寒证,Cold pattern,,
实证,Excess pattern,,
虚证,Deficiency pattern,,
表证,Exterior pattern,,
里证,Interior pattern,,
真寒假热证,True cold with false heat pattern,,
寒热错杂证,Combined cold and heat pattern,,寒热夹杂证
真实假虚证,True excess with false deficiency pattern,,
表寒里热证,Exterior cold with interior heat pattern,,
表热里寒证,Exterior heat with interior cold pattern,,
表里实寒证,Exterior–interior excess cold pattern,,表里俱寒证
表里实热证,Exterior–interior excess heat pattern,,表里俱热证
上盛下虚证,Upper excess with lower deficiency pattern,,
上热下寒证,Upper heat with lower cold pattern,,
上寒下热证,Upper cold with lower heat pattern,,
半表半里证,Neither exterior nor interior pattern,Half exterior and half interior (commonly used but wrong in meaning),
表里俱实证,Exterior–interior excess pattern,,
表实里虚证,Exterior excess with interior deficiency pattern,,
表虚里实证,Exterior deficiency with interior excess pattern,,
表实证,Exterior excess pattern,,
虚实夹杂证,Combined deficiency and excess pattern,,
病因证类,Patterns related to causative factors,Environmental factor patterns,
风邪袭表证,Wind attacking the exterior pattern,Wind invading the exterior pattern,风邪犯表证；风邪外袭证
风热表证,Wind heat exterior pattern,Wind heat invading the exterior pattern,风热外侵证；风热犯表证
风热夹🗎证,Wind heat and dampness pattern,,
风🗎化热证,Wind dampness transformed heat pattern,Wind dampness transformed fire pattern,风🗎化火证
风寒化热证,Wind cold transformed heat pattern,,风寒郁热证
风寒表证,Wind cold exterior pattern,Cold/wind cold binding the exterior pattern,寒邪束表证;风寒束表证
风🗎袭表证,Wind dampness attacking the exterior pattern,,
风毒犯表证,Wind toxin attacking the exterior pattern,,
风毒证,Wind toxin pattern,Exuberance of wind toxin pattern,风毒炽盛证
风🗎蕴肤证,Wind dampness accumulating in the skin pattern,,
风毒蕴肤证,Wind toxin accumulating in the skin pattern,,
实寒证,Excess cold pattern,,
虚寒证,Deficiency cold pattern,,
表寒证,Exterior cold pattern,,
寒凝气滞证,Cold induced qi stagnation pattern,,
寒凝血瘀证,Cold induced blood stasis pattern,,
寒🗎蕴肤证,Retained cold dampness in the skin pattern,,
寒实结胸证,Retained excess cold in the chest pattern,,
暑热证,Summer heat pattern,Internal retention of summer heat pattern,暑热内郁证
暑🗎证,Summer heat and dampness pattern,Internal retention of summer heat and dampness,暑🗎内蕴证
暑🗎困脾证,Summer heat and dampness obstructed spleen pattern,,
暑🗎袭表证,Summer heat and dampness attacking the exterior pattern,,
暑热动风证,Summer heat stirring wind pattern,,
暑耗气阴证,Summer heat consuming qi and yin pattern,Summer heat consuming qi and fluids pattern,暑伤津气证；暑伤气津证
🗎伤脾阳证,Dampness affecting spleen yang pattern,Dampness affecting the middle jiao pattern,
🗎热证,Damp heat pattern,Damp heat accumulation pattern,🗎热蕴结证
🗎热下注证,Damp heat downflow pattern,,
🗎热蕴肤证,Retained damp heat in the skin pattern,,
🗎毒证,Damp toxin pattern,Accumulation of damp toxin pattern,🗎毒蕴结证
风燥袭表证,Wind dryness attacking the exterior pattern,External dryness affecting the exterior pattern,外燥袭表证
燥毒证,Dryness toxin pattern,Dryness pattern,
火毒证,Fire toxin pattern,Exuberance of toxic/pathogenic/ fire heat,热毒炽盛证；邪热炽盛证；火热炽盛证
里热证,Interior heat pattern,Excess heat pattern,实热证
表热证,Exterior heat pattern,Exterior heat pattern,
热毒内陷证,Interior heat toxin pattern,Interior fire toxin pattern; fire/heat toxin blocking the interior pattern,火毒内陷证；火毒内闭证；热毒内闭证
热盛伤阴证,Exuberant heat damaging yin pattern,Pathogenic heat damaging yin pattern,邪热伤阴证
热实结胸证,Exuberant heat affecting the chest pattern,,
热盛伤津证,Exuberant heat damaging fluids pattern,Exuberant heat consuming fluids pattern,热盛耗液证
温毒袭表证,Warm toxin attacking the exterior pattern,,
热毒蕴肤证,Retained heat toxin in the skin pattern,Fire toxin accumulating in the skin pattern,火毒蕴结肌肤证
风火热毒证,Wind fire/heat toxin pattern,,
毒入营血证,Toxin entering the Ying- nutrients blood pattern,,
余毒未清证,Retained toxin pattern,,
脓毒证,Toxic pus pattern,Accumulation of toxic pus pattern,脓毒蕴积证
疫毒内闭证,Epidemic toxin blocking the heart spirit pattern,,
邪伏膜原证,Pathogenic factors hidden in the pleurodiaphragmatic interspace pattern,,
风水证,Wind water pattern,Pattern of wind and water contending with each other,风水相搏证
余热未清证,Residual heat pattern,Lingering of residual heat pattern,
内闭外脱证,Interior blockage and exterior collapse pattern,,
寒痰证,Cold phlegm pattern,,
热痰证,Heat phlegm pattern,,
🗎痰证,Damp phlegm pattern,,痰🗎证
风痰证,Wind phlegm pattern,,
燥痰证,Dry phlegm pattern,Accumulation of dry phlegm,燥痰蕴结证
痰气互结证,Phlegm qi stagnation pattern,Intermingled phlegm and qi pattern,痰气郁结证
痰气阻膈证,Phlegm qi obstructing the diaphragm pattern,,
痰瘀化热证,Phlegm and blood stasis transformed heat pattern,,
痰瘀阻膈证,Phlegm and blood stasis obstructed the diaphragm pattern,,
痰瘀互结证,Intertwined phlegm and blood stasis pattern,,
痰热气滞证,Phlegm heat stagnated qi pattern,,
痰火闭窍证,Phlegm fire blocked the heart spirit pattern,Phlegm heat blocked the interior pattern,痰热内闭证
痰热动风证,Phlegm heat stirring wind pattern,,
痰热结胸证,Phlegm heat affecting the chest pattern,,
痰食互结证,Intermingled phlegm and food stagnation pattern,,
痰核留结证,Retained phlegm nodules pattern,,
血瘀动血证,Blood stasis stirring blood pattern,,
血瘀化热证,Blood stasis transformed heat pattern,Stasis transforming into heat pattern,瘀滞化热证
血瘀水停证,Blood stasis induced water retention pattern,,
瘀血阻膈证,Stagnant blood obstructed the diaphragm pattern,,
饮溢四肢证,Fluids overflowing into the limbs pattern,,
水饮证,Water-fluid retention pattern,Internal retention of water fluids pattern,水饮内停证
饮溢胸胁证,Chest/subcostal fluid retention pattern,,饮停胸胁证
瘀阻胸胁证,Chest/subcostal stasis pattern,Stasis retention in the chest/ subcostal region pattern,瘀滞胸胁证
胎毒蕴热证,Fetal toxin and heat accumulation pattern,Accumulation of fetal toxin pattern,胎毒蕴结证；胎毒内蕴证；胎 毒证
惊恐伤肾证,Fear/fright damaging the kidney pattern,,
情志郁结证,Emotional stagnation pattern,Excessive worry damaging spirit qi pattern,忧伤神气证
阴阳气血津液精髓证类,"Patterns of yin, yang, qi, blood, bodily fluids, essence and marrow",,
阳虚证,Yang deficiency pattern,,
亡阳证,Yang depletion pattern,Yang exhaustion pattern/Yang collapse pattern,
虚阳外越证,Floating of deficiency yang pattern,,虚阳浮越证
阳虚水泛证,Yang deficiency induced water retention pattern,,阳虚水停证
阴虚证,Yin deficiency pattern,Insufficiency of yin fluids pattern,阴液亏虚证
亡阴证,Yin depletion pattern,Yin exhaustion pattern/yin collapse pattern,
阴虚动风证,Yin deficiency stirring wind pattern,,
阴虚津亏证,Yin fluids deficiency pattern,,阴液亏虚证
阴虚内热证,Yin deficiency-induced internal heat pattern,,
阴虚阳亢证,Yin deficiency-induced yang hyperactivity pattern,,
阴阳两虚证,Yin and yang deficiency pattern,,阴阳亏虚证
阴竭阳脱证,Yin exhaustion and yang collapse pattern,,
阴虚血燥证,Yin deficiency-induced blood dryness pattern,,
气虚证,Qi deficiency pattern,,
气滞证,Qi stagnation pattern,,
气逆证,Qi counterflow pattern,,
气陷证,Qi sinking pattern,,
气脱证,Qi collapse pattern,,
气闭证,Qi blockage pattern,,
气虚气滞证,Qi deficiency induced qi stagnation pattern,,
血虚证,Blood deficiency pattern,,
血瘀证,Blood stasis pattern,,
血热证,Blood heat pattern,,
血寒证,Blood cold pattern,,血寒凝滞证
血燥证,Blood dryness pattern,,
血脱证,Blood collapse pattern,,
血虚动风证,Blood deficiency stirring wind pattern,Blood deficiency generating wind pattern,血虚生风证
血虚风燥证,Blood deficiency- induced wind dryness pattern,,血虚风盛证
血虚津亏证,Blood and fluids deficiency pattern,,
血虚寒凝证,Cold retention with blood deficiency pattern,,
气血两虚证,Qi and blood deficiency pattern,,
气随血脱证,Blood loss-induced qi collapse pattern,,
气不摄血证,Qi failing to hold blood pattern,Qi failing to control blood pattern,气不统血证
气阴两虚证,Qi and yin deficiency pattern,Insufficiency of qi and yin pattern,气阴亏虚证
气滞血瘀证,Qi stagnation and blood stasis pattern,,
气滞痰凝证,Qi stagnation with phlegm retention pattern,,气郁痰凝证；气郁痰阻证；气滞痰阻证
气滞🗎阻证,Qi stagnation with dampness retention pattern,,气滞🗎困证；🗎阻气滞证
气郁化火证,Qi stagnation transformed fire pattern,,气滞化火证；气滞化热证；气郁化热证
气滞水停证,Qi stagnation induced water retention pattern,,
气虚发热证,Qi deficiency induced fever pattern,,
气虚痰结证,Qi deficiency with phlegm retention pattern,,气虚痰阻证
气虚🗎困证,Qi deficiency with dampness retention pattern,,气虚🗎阻证
气虚血瘀证,Qi deficiency induced blood stasis pattern,,气虚血凝证
气虚外感证,Qi deficiency with external contraction pattern,,
血虚内热证,Blood deficiency induced internal heat pattern,,
津液亏虚证,Fluids deficiency pattern,Fluid deficiency pattern,伤津证
津亏热结证,Fluids deficiency with heat accumulation pattern,,
液脱证,Fluids loss pattern,Fluid exhaustion pattern,
精气亏虚证,Essence and qi deficiency pattern,Essence deficiency pattern; Essential qi insufficiency,精气不足证
精血亏虚证,Essence and blood deficiency pattern,,
髓亏证,Marrow deficiency pattern,,
脏腑经络证类,Patterns of the zang–fu organs and meridians,Organ system patterns,
心系证类,Patterns of the heart system,Heart system patterns,
心气虚证,Heart qi deficiency pattern,,心气亏虚证
心气血两虚证,Deficiency of heart qi and blood pattern,Dual deficiency of heart qi and blood pattern,
心气阴两虚证,Deficiency of heart qi and yin pattern,,
心阳虚证,Heart yang deficiency pattern,,心阳亏虚证
心阳暴脱证,Sudden collapse of heart yang pattern,Heart yang collapse pattern,
心血虚证,Heart blood deficiency pattern,,心血亏虚证
心阴虚证,Heart yin deficiency pattern,,心阴亏虚证
心脉瘀阻证,Heart vessels stasis pattern,Heart blood stagnation pattern; heart vessel obstruction pattern,心血瘀滞证；心脉瘀阻证；心脉痹阻证
痰阻心脉证,Phlegm obstructing the heart vessels pattern,,
饮停心包证,Fluid retention affecting the pericardium pattern,,
心火上炎证,Upward flaming of heart fire pattern,Heart fire flaming upward pattern,
热闭心包证,Heat blocking the pericardium pattern,Heat blocking the heart mind pattern,热闭心神证
热扰心神证,Heat disturbing the heart spirit pattern,Fire harassing heart spirit pattern; Fire disturbing the heart mind,火扰心神证
痰火扰心证,Phlegm fire disturbing the heart pattern,Phlegm-fire harassing the heart system pattern; Phlegm fire/heat disturbing the mind; phlegm heat disturbing the heart,痰火扰神证；痰热扰神证；痰热扰心证
痰迷心窍证,Phlegm misting the heart pattern,Phlegm obstructing the heart; phlegm blocking the heart; phlegm blocking the heart spirit,痰蒙心窍证；痰阻心窍证；痰闭心窍证；痰蒙心神证；痰阻心神证；痰闭心神 证；痰迷心神证
瘀阻脑络证,Blood stasis obstructing the brain collaterals pattern,Stasis obstructing the brain pattern,瘀阻脑窍证
心神不宁证,Disquieted heart spirit pattern,Heart spirit restlessness pattern,
小肠实热证,Excess heat in the small intestine pattern,Small intestine excess heat pattern,
小肠气滞证,Small intestine qi stagnation pattern,Small intestine qi stagnation pattern,
小肠虚寒证,Deficiency cold in the small intestine pattern,Small intestine deficiency cold pattern,
肺系证类,Patterns of the lung system,Lung system patterns,
肺气阴两虚证,Lung qi/yin deficiency pattern,Lung qi and yin deficiency pattern,
肺阳虚证,Lung yang deficiency pattern,Lung yang deficiency pattern,
肺阴虚证,Lung yin deficiency pattern,Lung yin deficiency pattern; Insufficiency of lung yin pattern,肺阴亏虚证
肺气虚证,Lung qi deficiency pattern,Lung qi deficiency pattern; Defense qi deficiency pattern; Lung deficiency with exterior weakness pattern; Lung and defense qi insecurity pattern; Insecurity of lung Wei-defence,肺卫气虚不固证；肺卫气虚证
肺实热证,Excess heat in the lung pattern,Excess lung heat pattern;; exuberance of lung heat pattern,肺热壅盛证；肺热炽盛证
肺热阴虚证,Lung heat and yin deficiency pattern,Lung heat damaging fluids pattern; lung dryness due to yin/ fluids deficiency pattern,肺热津伤证；阴虚肺燥证；肺燥津亏证
风热犯肺证,Wind heat attacking the lung pattern,Wind heat invading the lung pattern,
痰热壅肺证,Phlegm heat accumulating in the lung pattern,Phlegm heat obstructing the lung pattern; Phlegm fire/heat accumulating in the lung; phlegm heat obstructing the lung,痰火壅肺证；痰火蕴肺证；痰热蕴肺证；痰热闭肺证
痰🗎蕴肺证,Phlegm dampness accumulating in the lung pattern,Turbid phlegm accumulation in the lung pattern; Phlegm-dampness obstructing the lung; phlegm dampness accumulating in the lung,"痰🗎阻肺证；痰
🗎蕴肺证；痰浊蕴肺证；痰浊阻肺证"
痰瘀阻肺证,Phlegm and blood stasis obstructing the lung pattern,Phlegm stasis obstructing the lung pattern,瘀痰阻肺证
风寒袭肺证,Wind cold attacking the lung pattern,Wind cold fettering the lung pattern; Wind cold binding the lung,风寒束肺证
寒饮伏肺证,Cold fluids affecting the lung pattern,Retention of cold fluids in the lung pattern,寒饮停肺证
寒痰阻肺证,Cold phlegm obstructing the lung pattern,Cold phlegm obstructing the lung pattern; Retention of cold phlegm in the lung,寒痰停肺证
表寒肺热证,Exterior cold with lung heat pattern,Exterior cold with lung heat pattern,
风燥伤肺证,Wind dryness damaging the lung pattern,Dryness invading the lung pattern; Dryness damaging/ attacking the lung,燥邪伤肺证；燥邪犯肺证
凉燥证,Cool dryness pattern,Cool dryness attacking the lung pattern,凉燥袭肺证
温燥证,Warm dryness pattern,Warm dryness damaging/ attacking the lung pattern,温燥伤肺证；温燥袭肺证
肺燥肠闭证,Lung dryness affecting the large intestine pattern,Lung dryness  with intestinal obstruction pattern,
瘀阻肺络证,Stasis obstructing the lung collaterals pattern,,
肠道🗎热证,Damp heat in the intestine pattern,Large intestine dampness heat pattern,
大肠虚寒证,Deficiency cold in the large intestine pattern,Large intestine deficiency cold pattern,
肠燥津亏证,Intestinal dryness pattern,Large intestine fluid deficiency pattern; Fluid insufficiency in the large intestine,大肠液亏证；大肠津亏证
大肠热结证,Heat stagnation in the large intestine pattern,Large intestine excess heat pattern; Excess heat in the large intestine,肠道热结证；肠道实热证；大肠实热证
血虚肠燥证,Intestinal dryness due to blood deficiency pattern,,血虚肠结证
阴虚肠燥证,Intestinal dryness due to yin deficiency pattern,,
🗎阻肠道证,Dampness obstructing the large intestine pattern,,
寒滞胃肠证,Cold retention in the stomach and intestines pattern,,
肠风伤络证,Wind damaging intestinal collaterals pattern,,风伤肠络证
脾系证类,Patterns of the spleen system,Spleen system patterns,
脾气虚证,Spleen qi deficiency pattern,Spleen qi deficiency pattern; Spleen qi depletion pattern; Spleen qi insecurity pattern; Insufficiency of spleen,脾气亏虚证
脾气下陷证,Spleen qi sinking pattern,Spleen qi sinking pattern; Middle qi sinking pattern; Qi sinking of the middle jiao,中气下陷证
脾气不固证,Insecurity of spleen qi pattern,,
脾不统血证,Spleen failing to control blood pattern,Spleen failing to hold blood within the vessels,脾不摄血证
脾虚生风证,Spleen deficiency generating wind pattern,,
脾阳虚证,Spleen yang deficiency pattern,Spleen yang insufficiency pattern,脾阳亏虚证；脾阳不足证
脾阴虚证,Spleen yin deficiency pattern,Spleen yin depletion pattern; Insufficiency of spleen yin,脾阴亏虚证
脾虚气滞证,Spleen deficiency with qi stagnation pattern,,
脾虚水泛证,Spleen deficiency with water retention pattern,Spleen deficiency with qi stagnation pattern,脾气虚水停证；脾气虚水🗎证
脾阳虚水泛证,Spleen yang deficiency with water retention pattern,,脾阳虚水停证
脾虚🗎困证,Spleen deficiency with dampness pattern,Spleen deficiency with dampness accumulation pattern; Spleen deficiency with dampness encumbrance pattern; Spleen dampness with dampness accumulation pattern,"脾虚🗎蕴证；脾虚🗎盛证；脾虚
🗎泛证"
脾虚🗎热证,Spleen deficiency with damp heat pattern,,
脾虚痰🗎证,Spleen deficiency with phlegm dampness pattern,,
脾虚食积证,Spleen deficiency with food retention pattern,Spleen deficiency with ingestion of food pattern,脾虚夹食证
脾虚血亏证,Spleen deficiency with blood deficiency pattern,Spleen deficiency with blood insufficiency pattern,
🗎热困脾证,Damp heat affecting the spleen pattern,Damp heat accumulating in the spleen pattern,🗎热蕴脾证
寒🗎困脾证,Cold dampness affecting the spleen pattern,Cold dampness encumbering the spleen system pattern; Cold dampness accumulating in the spleen pattern,寒🗎蕴脾证
思虑伤脾证,Worry damaging the spleen pattern,Anxiety damaging the spleen system pattern; Overthinking damaging spleen qi,思伤脾气证
胃气虚证,Stomach qi deficiency pattern,,胃气亏虚证
胃气上逆证,Ascending of stomach qi pattern,Stomach qi reverse flow pattern; Stomach qi uprising pattern,
胃热气逆证,Heat-induced ascending of stomach qi pattern,Fire-induced ascending of stomach qi pattern,胃火气逆证
胃寒气逆证,Cold-induced ascending of stomach qi pattern,,
胃阴虚证,Stomach yin deficiency pattern,,胃阴亏虚证
胃火证,Stomach fire pattern,Stomach heat exuberance pattern; stomach fire exuberance pattern; Excess stomach heat pattern; Stomach heat pattern,胃热炽盛证；胃火炽盛证；胃实热证；胃热证
胃热阴虚证,Stomach heat with yin deficiency pattern,,
胃燥津伤证,Stomach dryness due to loss of fluids pattern,,胃燥津亏证
寒邪犯胃证,Cold attacking the stomach pattern,,
寒饮停胃证,Cold fluids retention in the stomach pattern,Stomach cold with fluids retention pattern,胃寒饮停证
瘀阻胃络证,Stasis obstructing the stomach collaterals pattern,,
脾胃阴虚证,Yin deficiency of the spleen and stomach pattern,Yin deficiency/ deficiency heat of the middle jiao pattern; Deficiency heat of the spleen and stomach pattern,中焦阴虚证；中焦虚热症；脾胃虚热证
脾胃阳虚证,Yang deficiency of the spleen and stomach pattern,Deficiency cold of the spleen and stomach pattern; Yang deficiency/ deficiency cold of the middle jiao pattern,脾胃虚寒证；中焦阳虚证；中焦虚寒证
脾胃实热证,Excess heat in the spleen and stomach pattern,Heat accumulating in the spleen and stomach/middle jiao pattern; Excess heat in the spleen and stomach/middle jiao pattern,脾胃积热证；脾胃热盛证；中焦实热证；中焦积热证；中焦热 盛证
脾胃🗎热证,Damp heat in the spleen and stomach pattern,Damp heat in the middle jiao pattern,中焦🗎热证
🗎困脾胃证,Dampness affecting the spleen and stomach pattern,Dampness weakening the spleen and stomach,
