WGM2#,English term,Chinese term,Pinyin term,Synonyms,English definition/description,Chinese synonyms
390,Disharmony between yin and yang,阴阳失调,yīn yáng shī tiáo,null,"A general term for pathological states due to waxing and waning of yin and yang. This includes excess of yin or yang, deficiency of yin or yang, mutual impairment between yin and yang, rejection between yin and yang, transformation between yin and yang, and depletion/loss of yin or yang.",null
391,Excess yin or yang,阴阳偏盛,yīn yáng piān shèng,Preponderance of yin or yang,Pathological states due to excess of yin or yang.,null
392,Yin waxing with yang waning,阴盛阳衰,yīn shèng yáng shuāi,null,"Coexisting yin waxing and yang waning. Over time, excess yin cold may damage yang qi and result in yang depletion.",null
393,Yang deficiency with yin excess,阳虚阴盛,yáng xū yīn shèng,null,Mutual restraint between yin and yang maintains relative yin–yang equilibrium. The failure of yang to restrain yin may cause relative yin excess.,null
394,Yang waxing with yin waning,阳盛阴衰,yáng shèng yīn shuāi,null,"Coexisting yang waxing and yin waning. Often develops when waxing yang severely damages yin; however, yin damage is more severe.",null
395,"When yang prevails, yin fluids will be consumed.",阳胜则阴病,yáng shèng zé yīn bìng,null,A pathological state of overwhelming yang heat consuming yin fluids.,null
396,Yang excess leading to heat,阳胜则热,yáng shèng zé rè,null,A pathological state of overwhelming yang leading to excess heat.,null
397,"When yin prevails, yang qi will be impaired.",阴胜则阳病,yīn shèng zé yáng bìng,null,A pathological state of excess yin cold consuming yang qi.,null
398,Yin excess leading to cold,阴胜则寒,yīn shèng zé hán,null,A pathological state of overwhelming yin leading to excess cold.,null
399,Waning of yin or yang,阴阳偏衰,yīn yáng piān shuāi,null,Pathological states due to deficiency of yin or yang.,null
400,Yang deficiency leading to cold,阳虚则寒,yáng xū zé hán,null,A pathological state of yang qi deficiency leading to deficiency cold.,null
401,Yin deficiency leading to heat,阴虚则热,yīn xū zé rè,null,A pathological state in which yin fluid fails to control yang and causes a relative hyperactivity of yang and deficiency heat.,null
402,Yin deficiency leading to yang hyperactivity,阴虚阳亢,yīn xū yáng kàng,null,A pathological state in which yin fluid fails to control yang and causes a relative hyperactivity of yang.,null
403,Yin deficiency leading to fire hyperactivity,阴虚火旺,yīn xū huǒ wàng,null,A pathological state in which yin fluid fails to control yang and causes a relative hyperactivity of yang and deficiency fire.,null
404,Mutual impairment between yin and yang,阴阳互损,yīn yáng hù sǔn,null,A pathological state of deficiency of both yin and yang. Often results from severe deficiency of yin affecting yang or vice versa. This includes yin deficiency affecting yang and yang deficiency affecting yin.,null
405,Deficiency of yang affecting yin,阳损及阴,yáng sǔn jí yīn,null,"A pathological state in which yang qi deficiency impedes the generation of yin, resulting
in deficiency of both yin and yang with a preponderance of yang deficiency.",null
406,Impairment of yin affecting yang,阴损及阳,yīn sǔn jí yáng,null,"A pathological state in which consumption of yin affects yang qi, resulting in deficiency of both yin and yang with a preponderance of yin deficiency.",null
407,Dual deficiency of yin and yang,阴阳两虚,yīn yáng liǎng xū,null,A pathological state of coexisting yin deficiency and yang deficiency.,null
408,Yin–yang rejection,阴阳格拒,yīn yáng gé jù,Repellence between yin and yang,"A serious pathological state in which extremely excessive yin in the interior forces the deficient yang to spread outward or extremely excessive yang in the interior keeps deficient yin on the outside, forming pseudo-heat or pseudo-cold. This includes excessive yin rejecting yang and excessive yang rejecting yin.",null
409,Excessive yin rejecting yang,阴盛格阳,yīn shèng gé yáng,Excessive yin repelling yang,A pathological state of true cold with false heat when interior yin cold due to extreme yang deficiency forces the deficient yang to float on the exterior of the body.,null
410,Excessive yang rejecting yin,阳盛格阴,yáng shèng gé yīn,Excessive yang repelling yin,A pathological state of true heat with false cold when interior yang heat blocks the movement of qi and forces the yin to float on the exterior of the body.,null
411,Floating upward of deficiency yang,虚阳上浮,xū yáng shàng fú,null,A pathological state of upward floating of yang qi due to excessive yin rejecting yang or loss/ consumption of essence blood.,null
412,Collapse of yin or yang,阴阳亡失,yīn yáng wáng shī,null,"A critical state of sudden, heavy loss of yin fluid or yang qi. This includes yin collapse and yang collapse.",null
413,Yin collapse,亡阴,wáng yīn,Yin depletion,A critical state of massive loss and sudden failure of yin fluid.,null
414,Yang collapse,亡阳,wáng yáng,Yang depletion,A critical state of massive loss and sudden failure of yang qi.,null
415,Yin exhaustion and yang collapse,阴竭阳脱,yīn jié yáng tuō,null,A pathological state of exhaustion of yin fluid and loss of yang qi.,null
416,Yin–yang separation,阴阳离决,yīn yáng lí jué,null,A critical state of separation between yin and yang due to extreme deficiency of yin and yang.,null
417,Disordered qi activity,气机失调,qì jī shī tiáo,null,"Disordered activity of qi in ascending, descending, entering and exiting. It may cause qi stagnation, adverse qi flow, qi sinking, qi blockage and qi exhaustion.",null
418,Impaired qi activity,气机不利,qì jī bú lì,Impaired qi movement,"A general term for dysfunctions of the zang–fu organs. It is often used to explain dysfunctions of qi of the zang–fu organs in ascending the clear and descending the turbid. It may cause hiccups, chest stuffiness, abdominal distension/pain and irregular bowel/bladder movements.",null
419,Qi deficiency,气虚,qì xū,null,A pathological state of decreased zang–fu functions or body weakness due to deficiency of qi.,null
420,Qi collapse,气脱,qì tuō,Qi exhaustion,A pathological state in which extreme deficiency of qi causes qi to float on the exterior of the body.,null
421,Qi blockage,气闭,qì bì,null,A pathological state in which qi is obstructed inside.,null
422,Qi counterflow,气逆,qì nì,null,A pathological state of reversed upflow of qi. Either excessive upward flow of qi or inhibited downward flow of qi.,null
423,Qi sinking,气陷,qì xiàn,Qi falls,A pathological state in which qi fails to lift or hold but flows downward.,null
424,Qi impediment,气滞,qì zhì,null,A pathological state in which the movement of qi is inhibited.,null
425,Qi stagnation,气郁,qì yù,null,Stagnant movement of qi. It is often associated with emotions and disorder of qi and blood. Often refers to liver qi stagnation.,null
426,Qi stagnation transforming into fire,气郁化火,qì yù huà huǒ,null,A pathological state of prolonged qi stagnation transforming into fire heat.,null
427,Blood deficiency,血虚,xuè xū,null,A pathological state in which deficient blood fails to nourish the zang–fu organs and meridians/ channels.,null
428,Blood stasis,血瘀,xuè yū,null,"A pathological state of slow, coagulated or stagnant circulation of blood.",null
429,Blood cold,血寒,xuè hán,null,A pathological state in which cold enters the blood phase and causes the blood to stagnate or coagulate.,null
430,Blood heat,血热,xuè rè,null,A pathological state in which heat enters the blood phase and causes the blood to move recklessly.,null
431,Blood failing to flow within the vessels,血不归经,xuè bù guī jīng,null,A pathological state in which blood moves recklessly out of the vessels.,血不循经
432,Blood failing to nourish the sinews,血不养筋,xuè bù yǎng jīn,null,A pathological state in which liver blood fails to nourish the sinews and causes muscle/tendon spasm.,null
433,Qi-blood disharmony,气血失调,qì xuè shī tiáo,null,Any failure in the mutually coordinating relationship between qi and blood.,null
434,Dual deficiency of qi and blood,气血两虚,qì xuè liǎng xū,null,"A pathological state of malnourishment of the body or weakened bodily function due to
simultaneous presence of qi deficiency and blood deficiency.",null
435,Qi disorder affecting the blood,气病及血,qì bìng jí xuè,null,"A pathological state in which the dysfunction of qi affects the blood and causes blood deficiency, stagnant blood or bleeding.",null
436,Reckless flow of blood due to heat,血热妄行,xuè rè wàng háng,null,A pathological state of bleeding due to heat in the blood stirring or consuming blood and forcing it out of the vessels.,null
437,Qi collapse following loss of thick fluids,气随液脱,qì suí yè tuō,null,A critical state in which a massive loss of bodily fluids causes sudden collapse/loss of yang qi.,null
438,Qi failing to transform thin fluids,气不化津,qì bú huà jīn,null,A pathological state in which yang qi fails to vaporize water and perform qi transformation.,null
439,Water retention obstructing the flow of qi,水停气阻,shuǐ tíng qì zǔ,null,"A pathological state in which retained water within the body impedes the qi ascending, descending and transformation of the zang–fu organs.",null
440,Blood stasis due to qi stagnation,气滞血瘀,qì zhì xuè yū,null,A pathological state in which stagnant qi affects the circulation of blood and causes simultaneous presence of qi stagnation and blood stasis.,null
441,Blood stasis due to qi deficiency,气虚血瘀,qì xū xuè yū,null,"A pathological state in which qi fails to promote the circulation of blood and causes blood stasis, resulting in simultaneous presence of qi deficiency and blood stasis.",null
442,Qi failing to contain blood,气不摄血,qì bú shè xuè,Qi failing to control/hold blood,A pathological state in which qi fails to contain blood and allows the blood to flow out of the vessels.,null
443,Qi collapse following heavy blood loss,气随血脱,qì suí xuè tuō,null,A critical state in which massive blood loss causes sudden collapse of qi.,null
444,Blood counterflow with qi,血随气逆,xuè suí qì nì,Blood flows with rebellious qi,"A pathological state in which upward adverse flow of qi leads to blood rushing upward and results in haematemesis, haemoptysis or stroke.",null
445,Damage to thin body fluid,伤津,shāng jīn,null,"A pathological state in which the thin, clear fluids are consumed.",null
446,Exhaustion of thick body fluid,脱液,tuō yè,null,"A pathological state of emaciation and functional failures of the zang–fu organs. Alternatively,
it can be a life-threatening sign due to major consumption of heavy, thick fluids.",null
447,Fluid exhaustion leading to blood dryness,津枯血燥,jīn kū xuè zào,null,A pathological state in which fluids fail to supplement blood and causes blood dryness and internal dry heat.,null
448,Dual deficiency of qi and yin,气阴两虚,qì yīn liǎng xū,null,A pathological state of simultaneous presence of qi deficiency and yin deficiency.,null
449,The water gate failing to operate,关门不利,guān mén bú lì,null,A pathological state in which dysfunctions of the kidney in qi transformation causes inhibited urination (dysuria) and oedema.,null
450,Hyperactive fire consuming qi,壮火食气,zhuàng huǒ shí qì,null,"A pathological state of yin–yang disharmony and hyperactive yang transforming into fire. Alternatively, it occurs when prolonged intake of pungent, warm-property aphrodisiacs generates internal fire toxins and consumes essence qi.",null
451,Disharmony between the Ying-nutrients and Wei-defence,营卫不和,yíng wèi bù hé,null,A pathological state of lack of coordination between the Ying-nutritive qi and Wei-defensive qi.,null
452,Weak Wei-defence and strong Ying-nutrients,卫弱营强,wèi ruò yíng qiáng,null,A pathological state of spontaneous sweating without fever due to deficiency of the Wei- defensive qi (in an exterior pattern).,null
453,Strong Wei-defence and weak Ying-nutrients,卫强营弱,wèi qiáng yíng ruò,null,A pathological state of sweating that occurs only during fever in an exterior pattern.,null
454,Reckless stirring of ministerial fire,相火妄动,xiàng huǒ wàng dòng,Frenetic stirring of the ministerial fire,"A pathological state of upward flame of fire due to yin deficiency of the liver and kidney. Common symptoms may include dizziness, headache, blurred vision, tinnitus, deafness, irritability, dream-disturbed sleep, feverish sensations in the palms, soles and chest, hypersexuality, nocturnal emissions, premature ejaculations, etc.",null
455,1.7 Health preservation and prevention,1.7 养生预防类,null,Health promotion and prevention,null,null
456,Health preservation,养生,yǎng shēng,null,The activities to maintain physical and mental health and prevent illnesses.,null
457,Natural life span,天年,tiān nián,null,The congenital life expectancy,null
458,Preventing a disease before it arises,治未病,zhì wèi bìng,null,A concept to prevent a disease before it arises and prevents transmission of a disease after its onset.,null
459,Preventing a disease before it arises,未病先防,wèi bìng xiān fáng,null,A method to strengthen the healthy qi and eliminate potential harmful factors to prevent the occurrence of a disease.,null
460,Preventing transmission of a disease after its onset,既病防变,jì bìng fáng biàn,null,A method to use early diagnosis and early intervention to prevent disease progression and transmission.,null
461,Protecting yang in spring and summer,春夏养阳,chūn xià yǎng yáng,null,Yang qi rises and grows in the spring and the summer. It is necessary to protect and nourish the internal yang qi to keep it sufficient along with the seasons.,null
462,Nourishing yin in autumn and winter,秋冬养阴,qiū dōng yǎng yīn,null,Everything is stored in the autumn and the winter. It is necessary to protect and store the internal yin essence to keep it internally accumulated along with the seasons.,null
463,Healthy body and mind,形与神俱,xíng yǔ shén jù,null,The physical appearance and the mental activities are inseparable. The robust physical appearance and sound vitality is the sign of body–mind wellness.,null
464,Regulating spirit according to four seasonal qi,四气调神,sì qì tiáo shén,null,The adjustment of mental activities along with the climate of four seasons.,null
465,1.8 Five movements and six qi,1.8 五运六气类,null,null,null,null
466,Five movements and six qi,五运六气,wǔ yùn liù qì,null,"A collective name of wood movement, fire movement, earth movement, metal movement, water movement, and the collective name of wind, summer heat (heat), dampness, dryness, fire, cold in the natural world.",null
467,Five movements,五运,wǔ yùn,null,"The collective name of wood movement, fire movement, earth movement, metal movement, and water movement. It reflects the changes of qi of five elements between heaven and earth. Ten heavenly stems of jia, yi, bing, ding, wu, ji, geng, xin, ren, and gui are used to record the movements.",null
468,Six qi,六气,liù qì,null,"The six normal climatic phenomena of wind, summer heat (heat), dampness, dryness, fire,  and cold in the natural world. The twelve earthly branches of zi, chou, yin, mou, chen, si, wu, wei, shen, you, xu, and hai are used to record the six qi.",null
469,Heavenly stems,天干,tiān gān,null,"The collective name of jia, yi, bing, ding, wu, ji, geng, xin, ren, and gui.",十天干；十干
470,Earthly branches,地支,dì zhī,null,"The collective name of zi, chou, yin, mou, chen, si, wu, wei, shen, you, xu, and hai.",十二地支；十二支
471,Sixty-year cycle,甲子,jiǎ zǐ,null,"The heavenly stems pair with the earthly branches, following their orders, from jia–zi to gui–hai, forming a complete cycle of sixty years. The heavenly stems initiate with jia and the earthly branches initiate with zi. The combination is used to number years, months, days and times.",六十甲子
472,Movement of the year,岁运,suì yùn,null,"The movement governs the year, being jia and ji in category of earth movement, yi and geng in category of metal movement, bing and xin in category of water movement, ding and ren in category of wood movement, and wu and gui in
category of fire movement. For example, jia and ji is in category of earth movement, the movement of the year of the jia-zi year is earth.",null
473,Host movement,主运,zhǔ yùn,null,"Each of the five movements dominates in spring, summer, later summer, autumn and winter.
Starting from the severe cold and following the order of generating cycle of five elements, the first movement is wood, the second is fire, the third is earth, the fourth is metal, and the fifth is water.",null
474,Guest movement,客运,kè yùn,null,"The special climatic changes of the five seasons. It varies in every season in every year. Starting from the movement of the year as the initial movement, calculate in five steps according to the excess and insufficiency order of five elements. Ten years is   a complete cycle and covers ten heavenly stems. Ten years is a complete cycle that covers ten heavenly stems. Then the cycle starts all over agin.",null
475,Six origins,六元,liù yuán,null,"The combination of wind, cold, dampness, dryness, sovereign fire, ministerial fire with host qi in six steps. The initial qi is in association  with Jueyin, wind and wood, the second qi with Shaoyin and sovereign fire, the third qi with Shaoyang and ministerial fire, and the forth qi with Taiyin, dampness and earth, the fifth qi with yang ming, dryness and metal, the sixth (final) qi with Taiyang, cold and water.",null
476,Host qi,主气,zhǔ qì,null,"The collective name of wind, cold, dampness, dryness, sovereign fire and ministerial fire, being opposed to the guest qi. It reflects the normal seasonal climatic changes of the year. The calculation is to relate twenty four solar terms to six qi in six steps. The four solar terms consist of one step, being six steps for one year. The calculation starts from the severe cold.",null
477,Guest qi,客气,kè qì,null,"1) Reflects the abnormal climatic changes of the year, being opposed to the host qi. It includes the celestial qi, the terrestrial qi, and the four right and left intervening qi. The first yin is in association with Jueyin, wind, and wood, the second yin with Shaoyin and sovereign fire, and the third yin with Taiyin, dampness, and earth. The first yang is in association with Shaoyang and ministerial fire, the second yang with yang ming, dryness, and metal, the third yang with Taiyang, cold, and water. The calculation is to combine the above yin–yang order with twelve earthly branches. 2) External pathogenic factors.",null
478,Celestial controlling,司天,sī tiān,null,The guest qi governing the climatic changes of the first half of the year.,null
479,Terrestrial controlling,在泉,zài quán,null,The guest qi governing the climatic changes of the second half of the year. It is opposite to celestial qi.,null
480,Intervening qi,间气,jiān qì,null,The qi left and right to the celestial qi and the qi left and right to the terrestrial qi.,左右间气
481,Upgrade of intervening qi,迁正,qiān zhèng,null,The intervening qi left to the celestial qi becomes the celestial qi and the intervening qi left to the terrestrial qi becomes the terrestrial qi.,null
482,Downgrade,退位,tuì wèi,null,The celestial qi becomes the intervening qi right to the celestial qi and the terrestrial qi becomes the intervening qi right to the terrestrial qi.,null
483,Balanced movements,平气,píng qì,null,The excess of qi is restrained and the insufficiency of qi is compensated in the five movements.,null
484,Compatibility of movements and qi,运气同化,yùn qì tóng huà,null,The five movements and six qi share the same category of the five elements.,null
485,Heavenly complements,天符,tiān fú,null,The movement qi of the year and the celestial qi share the same category of the five elements in one year.,null
486,Annual congruence,岁会,suì huì,null,The movement qi of the year and the earthly branch of the year share the same category of the five elements in one year.,null
487,Identical heavenly complements,同天符,tóng tiān fú,null,The heavenly stem and the earthly branch of the year are both yang and the movement of the year and the terrestrial qi share the same category of the five elements in one year.,null
488,Identical annual congruence,同岁会,tóng suì huì,null,The heavenly stem and the earthly branch of the year are both yin and the movement of the year and the terrestrial qi share the same category of the five elements in one year.,null
489,Taiyi heavenly complements,太乙天符,tài yǐ tiān fú,null,"The movement of the year, the celestial qi, and earthly branch of the year share the same category of the five elements in one year.",null
490,"Tip qi, root qi and middle qi",标本中气,biāo běn zhōng qì,null,The study of relationship between six qi of heaven and six qi of the human body. It is used to determine the principle of the treatment based on interactions between human and nature.,null
491,Root qi,本气,běn qì,null,"Six qi of heaven, being wind, heat, dampness, dryness, cold and fire.",null
492,Tip qi,标气,biāo qì,null,"Qi of six meridians of Shaoyang, Taiyang, Yangming, Shaoyin, Taiyin and Jueyin.",null
493,Prevailing and retaliation,胜复,shèng fù,null,The relationship between the prevailing qi and the retaliating qi in five movements and six qi. They coexist by increasing and decreasing in the same direction.,null
494,Prevailing qi,胜气,shèng qì,null,The qi that is stronger and restrain another qi in the five movements and six qi.,null
495,Retaliating qi,复气,fù qì,null,The qi that is weaker and is restrained from another qi in the five movements and six qi.,null
496,Sovereign fire,君火,jūn huǒ,null,The fire in the heart. It is opposite to the ministerial fire.,null
497,Ministerial fire,相火,xiàng huǒ,null,"The fire dwelling in the liver, gallbladder, kidney and triple energizer, being opposite to the sovereign fire.",null
498,1.9 Others,1.9 其他类,null,null,null,null
499,Traditional medicine,传统医学,chuán tǒng yī xué,null,"The sum total of the knowledge, skills and practices based on the theories, beliefs and experiences indigenous to different cultures, whether explicable or not, used in the maintenance of health as well as in the
prevention, diagnosis, improvement or treatment of physical and mental illness.",null
500,Traditional Chinese medicine,中医学；中医,null,null,"A comprehensive system originated in ancient China that involves the study of life, health and diseases.",null
501,Fundamentals of traditional Chinese medicine,中医基础理论,zhōng yī jī chǔ lǐ lùn,Basic theory of traditional Chinese medicine,"Rational understandings of fundamental knowledge in traditional Chinese medicine. These include essential concepts, regular patterns, theories and principles. These understandings guide the application of traditional Chinese medicine in health preservation and disease prevention, diagnosis and treatment as well as rehabilitation.",null
502,Holistic concept,整体观念,zhěng tǐ guān niàn,Holistic view,The integral entity of the human body. The integration of human beings with nature and society.,null
503,Man–nature correspondence,天人相应,tiān rén xiāng yìng,null,Man and nature correspond to each other.,null
504,Man–nature unity,天人合一,tiān rén hé yī,Unity of humans and nature,"The oneness of human beings, heaven, earth and nature.",null
505,Spirit,神,shén,null,"1) Dominance of life activities. 2) Outer manifestation reflecting the life activities. 3) State of mind, mood and mental activities.",null
506,Bright spirit,神明,shén míng,null,"Mind or spirit. Alternatively, it also refers to all natural phenomena and patterns, including the sun, moon and stars.",null
507,Qi gate,气门,qì mén,null,Another name of the sweat pore for inflow and outflow of qi.,null
508,Mysterious mansion,玄府,xuán fǔ,null,Another name of the sweat pore for dispersion and flowing of qi and fluid.,元府
509,Interstices,腠理,còu lǐ,null,"Refers to the striae of the skin, muscle and organs, also to the space between the skin, muscle
and organs, the minute passages for the fluid percolation and the flowing of qi and blood.",null
510,Five wheels,五轮,wǔ lún,null,"A collective name of blood wheel, wind wheel, flesh wheel, qi wheel and water wheel for the eye, which is closely related to the physiological conditions or/and pathological changes.",null
511,Blood wheel,血轮,xuè lún,null,"Refers to blood vessels at the canthus of eyes, pertaining to the heart. The heart governs blood. Its disorders are related to the heart.",null
512,Wind wheel,风轮,fēng lún,null,"Refers to the black part of the eye, pertaining to the liver. The liver is the organ of wind and wood. Its disorders are related to the liver.",null
513,Flesh wheel,肉轮,ròu lún,null,"Refers to the eyelids, pertaining to the spleen. The spleen governs flesh. Its disorders are related to the spleen.",null
514,Qi wheel,气轮,qì lún,null,"Refers to the white part of the eye, pertaining to the lung. The lung governs qi. Its disorders are related to the lung.",null
515,Water wheel,水轮,shuǐ lún,null,"Refers to the pupil, pertaining to the kidney. The kidney governs water. Its disorders are related to the kidney.",null
516,Seven gates,七冲门,qī chōng mén,null,"Seven major places in the digestive tract, being flying gate, door gate, breathing gate, rushing gate, pylorus, screen gate and corporeal gate.",null
517,Flying gate,飞门,fēi mén,null,Another name for lips.,null
518,Door gate,户门,hù mén,null,Another name for teeth.,null
519,Breathing gate,吸门,xī mén,null,Another name for epiglottis.,null
520,Rushing gate,贲门,bēn mén,null,Upper opening of the stomach.,null
521,Pylorus,幽门,yōu mén,null,Lower opening of the stomach.,null
522,Screen gate,阑门,lán mén,null,Junction between large and small intestines.,null
523,Corporeal soul gate,魄门,pò mén,null,Another name for anus.,null
524,Anterior yin,前阴,qián yīn,null,The external genitals.,null
525,Posterior yin,后阴,hòu yīn,null,Anus.,null
526,Four whites of the lips,唇四白,chún sì bái,Muscles around the lips,The area around the lips reflecting the strength and the weakness of the essential qi in the spleen.,null
527,Essence chamber,精室,jīng shì,null,"The place where the male stores the essence, including testicles, epididymis, seminal vesicles and prostate. It is associated with reproduction.",null
528,Four extremities,四末,sì mò,null,1) Four limbs. 2) Distal ends of toes and fingers.,null
529,Chest center,膻中,dàn zhōng,Danzhong (CV 17),"1) The gathering venue of pectoral qi, at the centre of the two nipples. 2) Another name of pericardium. 3) Name of an acupuncture point located in the midpoint between two nipples.",null
530,Xu li,虚里,xū lǐ,null,"The major collateral of the stomach, one of the sixteen collaterals, located at the apex of heart below the left nipple, which is the gathering venue of pectoral qi.",null
531,Muscle interspace,溪谷,xī gǔ,null,The empty space or depression at the connection of muscles. The large one known as the“valley” and the small one as the“creek”.,null
532,Blood chamber,血室,xuè shì,null,A term used to refer to: 1) uterus; 2) Chong meridian; or 3) liver.,null
533,Gathering of muscle around genital region,宗筋,zōng jīn,Ancestral muscles,1) Muscle regions of three yang and three yin meridians gathering at the genital regions. 2) Male external genitalia.,null
534,Gaohuang,膏肓,gāo huāng,null,"The space inferior to the heart and superior to the diaphragm. When used as a disease location, it often means that the condition is incurable.",null
535,Sense organs and orifices,官窍,guān qiào,null,"There are five sense organs, namely, the tongue, nose, mouth, eyes and ears. The throat is also considered as a sense organ. There are a total of nine orifices (seven yang orifices and two yin
orifices), namely, the eyes (2), ears (2), nostrils (2), mouth, anterior yin (external genitalia including the external orifice of the urethra) and posterior yin (anus).",null
536,Eight ocular regions,八廓,bā kuò,null,The eyes are categorized into eight regions according to zang–fu theory to match with the eight trigrams. This helps to further categorize and differentiate patterns of eye disease.,null
537,White part of the eyeball,白睛,bái jīng,Sclera,"The white opaque part of the outer surface of the eyeball, i.e. the conjunctiva and sclera.",null
538,Black part of the eyeball,黑睛,hēi jīng,Cornea and iris,"The transparent membranous structure forming the central anterior part of the eye, i.e. the cornea. Since this part corresponds to the liver, corneal eye problems are often associated with the liver and gallbladder.",null
539,Pupil,瞳神,tóng shén,null,"In a narrow sense, it refers to the opening at the centre of the iris, posterior to the cornea, through which light enters the eye. In a broad sense, it refers to the pupil and all attached tissues. Since this part corresponds to the kidney (the water wheel according to the five-wheel theory) and  the liver and kidney share the same source, pupil- related eye problems are often associated with the liver and kidney.",null
540,Aqueous humour,神水,shén shuǐ,null,"Tears and transparent, watery fluid secreted from the ciliary epithelium.",null
541,Vitreous humour,神膏,shén gāo,null,"The clear, colourless gel that fills the space between the lens and the retina of the eyeball.",null
542,Bright hall,明堂,míng táng,null,An ancient term for the nose. It also refers to the chart of the twelve meridians and points in Chinese medicine.,null
543,Foul turbidity,秽浊,huì zhuó,null,"1) An exogenous pathogenic factor. 2) Special odour of the patients’body, excretion and secretion. 3) Pathological products steamed by damp heat.",null
544,"2 Terminologies on diagnosis, patterns and constitution",二、诊断、病证和体质术语,null,null,null,null
545,2.1 Concept and principles in diagnosis,2.1 诊断基本概念与原则类,null,null,null,null
546,Symptom,症状,zhèng zhuàng,null,"Abnormal functions reflecting the presence of an unusual state, or of a disease. It includes a patient’s subjective feelings or manifestations perceived by a doctor.",null
547,Sign,体征,tǐ zhēng,null,Abnormal changes that can be objectively measured.,null
548,Pattern,证,zhèng,Syndrome,"A pathological summarization on the disease location, etiological factors, nature, severity and prognosis in a certain stage.",证候
549,Disease,病,bìng,null,"The whole process of struggle between anti- pathogenic qi and pathogenic factors, yin–yang imbalance and progression, manifesting as specific symptoms and patterns. In a narrow sense, a disease has its specific name.",null
550,Pattern identification,辨证,biàn zhèng,pattern differentiation,"The process of an overall analysis of clinical data to determine the location, etiological factors and nature of a disease at a certain stage.",null
551,Disease differentiation,辨病,biàn bìng,null,"The process of differentiating a disease from its whole process and its characteristics according to the etiology, underlying pathology, progression and prognosis.",null
49,null,null,null,null,null,null
552.0,Treatment based on pattern identification,辨证论治,biàn zhèng lùn zhì,Treatment based on pattern differentiation,"The whole process of applying theories, principles, prescriptions and medicines to clinical treatment. Pattern differentiation aims to analyse the signs and symptoms collected by the four examination methods according to the fundamental theories of the eight principles, zang–fu organs, etiology and pathogenesis. Treatment refers to specific therapeutic methods directed at the differentiated pattern.",null
553.0,Combination of the four diagnostic methods,四诊合参,sì zhěn hé cān,null,The process of an overall analysis of clinical data collected through the four diagnostic methods and providing a diagnosis and potential treatment options.,null
554.0,Differentiation of disease and pattern,病证结合,bìng zhèng jié hé,null,"Integrated differentiation of both pattern and disease. This helps to analyse the disease onset and development, and thus provide reliable evidence for practical treatment strategies.",null
555.0,Judging the inside from observing the outside,司外揣内,sī wài chuǎi nèi,null,A method to understand internal pathological changes through observing the external manifestations.,null
556.0,2.2 Four diagnostic methods,2.2 四诊,null,null,null,null
557.0,Inspection,望诊类,wàng zhěn lèi,null,null,null
558.0,Inspection,望诊,wàng zhěn,Observation,"A method to understand patients’health condition by observing changes in their body, localized body parts, and excreta.",null
559.0,Presence of spirit,得神,dé shén,Abundance of spirit,"Bright eyes with flexible eyeballs, clear consciousness, natural facial expressions, a moist lustrous face, a fit body, smooth body movements, and even breathing. The presence of spirit indicates abundant essential qi or a mild medical condition.",有神
560.0,Insufficiency of spirit,少神,shǎo shén,Lack of spirit,"Dull eyes with sluggish eyeballs, poor spirit, slow response, a complexion lacking lustre, flabby muscle and slow body movements. The insufficiency of spirit indicates insufficiency of healthy qi or mild impairment to essential qi of zang–fu organs.",神气不足
561.0,Loss of spirit,失神,shī shén,Absence of spirit,"Dull eyes with sluggish eyeballs, listlessness or unconsciousness, apathetic expression, slow response, a grey/dark complexion lacking lustre, weight loss and difficult body movements. The loss of spirit indicates severe damage to healthy qi and essential qi failure of zang–fu organs.",无神
562.0,False spirit,假神,jiǎ shén,The last radiance of the setting sun/the last flicker of life in a dying person,"Sudden‘better’signs and symptoms in patients with chronic critical conditions: a sudden change from dull eyes with sluggish eyeballs to floating brightness in the eyes; a sudden change from mental unconsciousness or listlessness to clear consciousness and mental restlessness; a sudden change from reluctance to talk and low weak voice into a talkative, clear voice; a sudden change from a grey/dark complexion to flushed cheeks; and a sudden change from no appetite and low food intake into increased appetite and hunger.
The false spirit indicates collapse of healthy qi, extreme essential qi failure of zang–fu organs or imminent separation between yin and yang. This is seen as an omen for a dying person.",残灯复明；回光返照
563.0,Carphologia,循衣摸床,xún yī mō chuáng,Carphology,"The actions of picking or grasping at imaginary objects, as well as the patient’s own clothes or bed linens. Often seen in delirious or semiconscious states, it can be a grave symptom in cases
of extreme qi deficiency or approaching qi exhaustion.",捻衣摸床
564.0,Colour diagnosis,色诊,sè zhěn,Inspection of colour,"A diagnostic method to observe colour changes of the skin, especially to the face.",望色
565.0,Normal complexion,常色,cháng sè,null,"With abundant qi and blood as well as functioning of zang–fu organs, a normal facial colour is moist, lustrous and non-exposed red.",null
566.0,Host colour,主色,zhǔ sè,null,The colour one was born with. It remains throughout life. It is determined by race and prenatal factors.,null
567.0,Guest colour,客色,kè sè,null,"The colour one takes on when physiological, seasonal, climactic, geographic, diet and emotions change the colouring.",null
568.0,Morbid colour,病色,bìng sè,null,Abnormal changes in both colour and lustre of the face under a morbid state.,null
